micrograph,tube_id,length_nm
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,1,308.600
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,2,259.611
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,3,242.141
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,4,196.005
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,5,160.442
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,6,122.876
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,7,127.238
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,8,125.886
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,9,108.210
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,10,91.958
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,11,66.540
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,12,65.185
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,13,64.622
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,14,60.047
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,15,43.171
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,16,42.764
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,17,43.008
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,18,42.527
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,19,43.109
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,20,43.139
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,21,42.889
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,22,42.717
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0001.star,23,39.476
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0002.star,1,1231.814
/auto_nfs/rodriguez1/kmc012/__crYOLO/TMV/output_1/STAR_FILAMENT_SEGMENTED/KMCB2_D8_RL_TMV_0.05mgmL_9300X_0002.star,2,337.248
